position,first_name,surname,club,age_cat,gender,marathon,peel_hill,ramsey_10k,killer_mile,foxdale_5,trail_run,total
1,James,Read,,MSnr,M,02:47:05,00:19:18,00:37:16,00:07:36,00:27:53,00:41:28,5:00:36
2,David,Williams,,M35-39,M,02:49:32,00:21:44,00:37:13,00:08:34,00:29:52,00:43:52,5:10:47
3,Matt,Callister,MFR,M45-49,M,02:51:36,00:20:52,00:38:15,00:08:22,00:29:42,00:42:25,5:11:12
4,Paul,Jennings,MFR,M40-44,M,02:57:25,00:21:12,00:35:59,00:08:06,00:29:14,00:42:57,5:14:53
5,Joe,Callaghan,,MSnr,M,03:36:53,00:22:37,00:41:26,00:09:10,00:32:48,00:51:05,6:13:59
6,Katherine,Cubbon,MFR,F35-39,F,03:33:28,00:24:10,00:42:23,00:09:40,00:34:52,00:50:34,6:15:07
7,Kieran,Rowley,,MSnr,M,03:46:41,00:23:57,00:48:03,00:09:49,00:36:46,00:51:56,6:37:12
8,Stephen,Caley,MFR,M40-44,M,03:59:47,00:25:59,00:45:41,00:10:01,00:36:11,00:50:49,6:48:28
9,Christopher,Colquitt,from WIG,M40-44,M,04:07:45,00:26:22,00:45:11,00:10:13,00:37:01,00:51:15,6:57:47
10,Jayne,Farquhar,MH,F55-59,F,03:52:23,00:31:24,00:50:39,00:12:49,00:52:06,00:57:52,7:17:13
11,Edward,Anderson,,M50-54,M,04:33:52,00:32:13,00:57:51,00:12:49,00:45:55,01:04:45,8:07:25
12,Phill,Swales,IOMVAC,M60-64,M,05:36:51,00:37:38,01:08:55,00:14:53,00:52:28,01:19:21,9:50:06
